C0	1;690000;700000	1;224160000;224170000
C1	1;720000;730000	1;224200000;224210000
C2	1;725000;730000	1;224205000;224210000
C3	1;820000;830000	1;5710000;5720000
C4	1;820000;830000	1;5720000;5730000
C5	1;850000;860000	1;1200000;1210000
C6	1;1050000;1060000	1;1200000;1210000
C7	1;1050000;1060000	1;1160000;1170000
C8	1;1340000;1350000	1;1400000;1410000
C9	1;1520000;1530000	1;205310000;205320000
C10	1;1580000;1585000	1;1645000;1650000
C11	1;1585000;1590000	1;1650000;1655000
C12	1;1620000;1625000	1;1670000;1675000
C13	1;1620000;1625000	1;1675000;1680000
C14	1;1650000;1660000	1;91850000;91860000
C15	1;1710000;1720000	1;1830000;1840000
C16	1;1890000;1900000	1;1970000;1980000
C17	1;2070000;2080000	1;87510000;87520000
C18	1;2120000;2125000	1;2315000;2320000
C19	1;2120000;2130000	1;2310000;2320000
C20	1;2125000;2130000	1;2320000;2325000
C21	1;2125000;2130000	1;2310000;2315000
C22	1;2130000;2140000	1;2300000;2310000
C23	1;2130000;2140000	1;2510000;2520000
C24	1;2150000;2160000	1;2570000;2580000
C25	1;2345000;2350000	1;2570000;2575000
C26	1;2345000;2350000	1;3340000;3345000
C27	1;2345000;2350000	1;2480000;2485000
C28	1;2350000;2360000	1;2480000;2490000
C29	1;2350000;2360000	1;3340000;3350000
C30	1;2475000;2480000	1;2510000;2515000
C31	1;3360000;3370000	1;3530000;3540000
C32	1;3365000;3370000	1;3400000;3405000
C33	1;3400000;3410000	1;3530000;3540000
C34	1;3400000;3410000	1;3540000;3550000
C35	1;3475000;3480000	1;3535000;3540000
C36	1;3580000;3590000	1;12110000;12120000
C37	1;4155000;4160000	1;5660000;5665000
C38	1;4710000;4720000	1;5970000;5980000
C39	1;5560000;5570000	1;6030000;6040000
C40	1;5570000;5575000	1;5970000;5975000
C41	1;5625000;5630000	1;5660000;5665000
C42	1;5690000;5700000	1;5970000;5980000
C43	1;6110000;6120000	1;6240000;6250000
C44	1;6300000;6310000	1;6470000;6480000
C45	1;6300000;6310000	1;6400000;6410000
C46	1;6305000;6310000	1;6460000;6465000
C47	1;6305000;6310000	1;6400000;6405000
C48	1;6310000;6320000	1;6490000;6500000
C49	1;6405000;6410000	1;6460000;6465000
C50	1;6410000;6420000	1;6460000;6470000
C51	1;6420000;6425000	1;6460000;6465000
C52	1;6460000;6470000	1;10230000;10240000
C53	1;6490000;6500000	1;17030000;17040000
C54	1;6510000;6520000	1;17020000;17030000
C55	1;6650000;6660000	1;112620000;112630000
C56	1;6770000;6780000	1;7130000;7140000
C57	1;6780000;6785000	1;7130000;7135000
C58	1;6780000;6790000	1;7130000;7140000
C59	1;6780000;6790000	1;7260000;7270000
C60	1;6780000;6785000	1;7280000;7285000
C61	1;6785000;6790000	1;6950000;6955000
C62	1;6850000;6860000	1;7700000;7710000
C63	1;6850000;6860000	1;7270000;7280000
C64	1;6850000;6855000	1;6950000;6955000
C65	1;6850000;6855000	1;7130000;7135000
C66	1;6850000;6860000	1;7120000;7130000
C67	1;6860000;6870000	1;7130000;7140000
C68	1;7100000;7105000	1;7705000;7710000
C69	1;7720000;7730000	1;7960000;7970000
C70	1;7725000;7730000	1;7960000;7965000
C71	1;7725000;7730000	1;7810000;7815000
C72	1;7730000;7735000	1;7960000;7965000
C73	1;7730000;7735000	1;7810000;7815000
C74	1;8030000;8040000	1;8370000;8380000
C75	1;8030000;8040000	1;8910000;8920000
C76	1;8035000;8040000	1;8075000;8080000
C77	1;8035000;8040000	1;8405000;8410000
C78	1;8070000;8080000	1;8780000;8790000
C79	1;8070000;8080000	1;8400000;8410000
C80	1;8075000;8080000	1;8375000;8380000
C81	1;8075000;8080000	1;8370000;8375000
C82	1;8095000;8100000	1;8155000;8160000
C83	1;8105000;8110000	1;8985000;8990000
C84	1;8205000;8210000	1;8370000;8375000
C85	1;8430000;8440000	1;8770000;8780000
C86	1;8430000;8435000	1;8480000;8485000
C87	1;8470000;8480000	1;8780000;8790000
C88	1;8520000;8530000	1;8570000;8580000
C89	1;8620000;8625000	1;8785000;8790000
C90	1;8620000;8625000	1;8905000;8910000
C91	1;8620000;8625000	1;8730000;8735000
C92	1;8620000;8625000	1;8900000;8905000
C93	1;8620000;8630000	1;8770000;8780000
C94	1;8970000;8980000	1;9160000;9170000
C95	1;8970000;8980000	1;9040000;9050000
C96	1;8975000;8980000	1;9065000;9070000
C97	1;8975000;8980000	1;9155000;9160000
C98	1;8975000;8980000	1;9045000;9050000
C99	1;8980000;8990000	1;9040000;9050000
C100	1;8980000;8985000	1;9160000;9165000
C101	1;9065000;9070000	1;9160000;9165000
C102	1;9170000;9175000	1;9255000;9260000
C103	1;9170000;9175000	1;9550000;9555000
C104	1;9170000;9180000	1;9250000;9260000
C105	1;9325000;9330000	1;9630000;9635000
C106	1;9325000;9330000	1;9550000;9555000
C107	1;9340000;9350000	1;9510000;9520000
C108	1;9345000;9350000	1;9515000;9520000
C109	1;9345000;9350000	1;9550000;9555000
C110	1;9550000;9555000	1;9630000;9635000
C111	1;9555000;9560000	1;9625000;9630000
C112	1;9555000;9560000	1;9630000;9635000
C113	1;9620000;9630000	1;149220000;149230000
C114	1;9680000;9690000	1;9920000;9930000
C115	1;9680000;9690000	1;9910000;9920000
C116	1;9685000;9690000	1;9745000;9750000
C117	1;9690000;9695000	1;9925000;9930000
C118	1;9840000;9850000	1;9910000;9920000
C119	1;9845000;9850000	1;9925000;9930000
C120	1;9890000;9900000	1;27320000;27330000
C121	1;9930000;9940000	1;10480000;10490000
C122	1;9935000;9940000	1;10000000;10005000
C123	1;9940000;9945000	1;10485000;10490000
C124	1;10000000;10010000	1;10480000;10490000
C125	1;10010000;10015000	1;10080000;10085000
C126	1;10010000;10020000	1;10080000;10090000
C127	1;10010000;10020000	1;10400000;10410000
C128	1;10010000;10020000	1;10210000;10220000
C129	1;10010000;10015000	1;10090000;10095000
C130	1;10020000;10030000	1;10390000;10400000
C131	1;10485000;10490000	1;10550000;10555000
C132	1;10490000;10495000	1;10550000;10555000
C133	1;10565000;10570000	1;10925000;10930000
C134	1;10565000;10570000	1;11000000;11005000
C135	1;10570000;10580000	1;10850000;10860000
C136	1;10580000;10590000	1;10920000;10930000
C137	1;10590000;10600000	1;10920000;10930000
C138	1;11030000;11040000	1;173800000;173810000
C139	1;11090000;11100000	1;11700000;11710000
C140	1;11090000;11100000	1;151210000;151220000
C141	1;11095000;11100000	1;11700000;11705000
C142	1;11290000;11300000	1;11700000;11710000
C143	1;11295000;11300000	1;11700000;11705000
C144	1;11300000;11305000	1;11700000;11705000
C145	1;11390000;11400000	1;11700000;11710000
C146	1;11430000;11440000	1;160160000;160170000
C147	1;11710000;11720000	1;11860000;11870000
C148	1;11710000;11720000	1;11770000;11780000
C149	1;11715000;11720000	1;11770000;11775000
C150	1;11900000;11910000	1;11950000;11960000
C151	1;11900000;11910000	1;12020000;12030000
C152	1;11900000;11910000	1;11960000;11970000
C153	1;11900000;11905000	1;11955000;11960000
C154	1;11910000;11915000	1;11960000;11965000
C155	1;11960000;11970000	1;17220000;17230000
C156	1;11965000;11970000	1;12040000;12045000
C157	1;12180000;12190000	1;12670000;12680000
C158	1;12180000;12190000	1;12260000;12270000
C159	1;12180000;12190000	1;12680000;12690000
C160	1;12185000;12190000	1;12265000;12270000
C161	1;12330000;12335000	1;12675000;12680000
C162	1;12370000;12380000	1;12720000;12730000
C163	1;12370000;12380000	1;12680000;12690000
C164	1;12370000;12375000	1;12675000;12680000
C165	1;12375000;12380000	1;12675000;12680000
C166	1;12375000;12380000	1;12715000;12720000
C167	1;12610000;12615000	1;12675000;12680000
C168	1;12850000;12860000	1;12920000;12930000
C169	1;12890000;12895000	1;12945000;12950000
C170	1;13990000;14000000	1;14280000;14290000
C171	1;13990000;13995000	1;14285000;14290000
C172	1;13995000;14000000	1;14050000;14055000
C173	1;13995000;14000000	1;14135000;14140000
C174	1;13995000;14000000	1;14285000;14290000
C175	1;14020000;14030000	1;14070000;14080000
C176	1;14150000;14160000	1;14280000;14290000
C177	1;14155000;14160000	1;14285000;14290000
C178	1;14290000;14300000	1;15420000;15430000
C179	1;14290000;14300000	1;15370000;15380000
C180	1;14440000;14445000	1;15370000;15375000
C181	1;14790000;14800000	1;91560000;91570000
C182	1;14930000;14935000	1;15370000;15375000
C183	1;15250000;15260000	1;15350000;15360000
C184	1;15430000;15440000	1;245960000;245970000
C185	1;15450000;15455000	1;15600000;15605000
C186	1;15450000;15460000	1;15630000;15640000
C187	1;15450000;15460000	1;15620000;15630000
C188	1;15455000;15460000	1;15630000;15635000
C189	1;15460000;15470000	1;15570000;15580000
C190	1;15470000;15480000	1;15750000;15760000
C191	1;15470000;15480000	1;15590000;15600000
C192	1;15475000;15480000	1;15595000;15600000
C193	1;15645000;15650000	1;15750000;15755000
C194	1;15650000;15660000	1;15730000;15740000
C195	1;15650000;15655000	1;15750000;15755000
C196	1;15920000;15925000	1;16065000;16070000
C197	1;15920000;15930000	1;16060000;16070000
C198	1;16100000;16110000	1;244900000;244910000
C199	1;16110000;16120000	1;16510000;16520000
C200	1;16110000;16120000	1;16380000;16390000
C201	1;16175000;16180000	1;16210000;16215000
C202	1;16400000;16405000	1;16510000;16515000
C203	1;16400000;16410000	1;16510000;16520000
C204	1;16400000;16410000	1;16670000;16680000
C205	1;16400000;16410000	1;16680000;16690000
C206	1;16400000;16405000	1;16690000;16695000
C207	1;16400000;16405000	1;16570000;16575000
C208	1;16405000;16410000	1;16510000;16515000
C209	1;16405000;16410000	1;16560000;16565000
C210	1;16405000;16410000	1;16565000;16570000
C211	1;16450000;16460000	1;234910000;234920000
C212	1;16810000;16820000	1;16950000;16960000
C213	1;16830000;16840000	1;144530000;144540000
C214	1;16830000;16840000	1;144520000;144530000
C215	1;16830000;16840000	1;17070000;17080000
C216	1;16830000;16840000	1;16970000;16980000
C217	1;16830000;16840000	1;234910000;234920000
C218	1;16830000;16840000	1;149220000;149230000
C219	1;16830000;16840000	1;16960000;16970000
C220	1;16830000;16840000	1;145380000;145390000
C221	1;16835000;16840000	1;234915000;234920000
C222	1;16835000;16840000	1;17220000;17225000
C223	1;16835000;16840000	1;17070000;17075000
C224	1;16850000;16860000	1;149280000;149290000
C225	1;16855000;16860000	1;17200000;17205000
C226	1;16860000;16870000	1;149280000;149290000
C227	1;16860000;16870000	1;234910000;234920000
C228	1;16860000;16870000	1;17000000;17010000
C229	1;16870000;16880000	1;17000000;17010000
C230	1;16870000;16875000	1;17055000;17060000
C231	1;16870000;16875000	1;17050000;17055000
C232	1;16880000;16890000	1;21740000;21750000
C233	1;16890000;16900000	1;234910000;234920000
C234	1;16890000;16900000	1;16960000;16970000
C235	1;16910000;16920000	1;145290000;145300000
C236	1;16920000;16925000	1;21790000;21795000
C237	1;16920000;16930000	1;149110000;149120000
C238	1;16920000;16930000	1;21790000;21800000
C239	1;16930000;16940000	1;234910000;234920000
C240	1;16930000;16940000	1;21760000;21770000
C241	1;16930000;16940000	1;21770000;21780000
C242	1;16930000;16940000	1;17370000;17380000
C243	1;16950000;16955000	1;17270000;17275000
C244	1;16960000;16970000	1;234910000;234920000
C245	1;16960000;16970000	1;21750000;21760000
C246	1;16970000;16980000	1;17070000;17080000
C247	1;16970000;16980000	1;234910000;234920000
C248	1;16980000;16990000	1;17070000;17080000
C249	1;17000000;17010000	1;17050000;17060000
C250	1;17010000;17020000	1;21730000;21740000
C251	1;17030000;17040000	1;17220000;17230000
C252	1;17050000;17060000	1;234910000;234920000
C253	1;17050000;17060000	1;149280000;149290000
C254	1;17050000;17055000	1;17200000;17205000
C255	1;17050000;17055000	1;234915000;234920000
C256	1;17060000;17070000	1;17220000;17230000
C257	1;17070000;17080000	1;149220000;149230000
C258	1;17085000;17090000	1;234955000;234960000
